date,price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,transaction
2016-01-20,0.000249786066974667,0.0002823797411943747,0.00026815704698941126,0.00025067498536247737,0.0002761573124797031,0.00026400876117963065,0.0002746757818333529,0.00024326733213072562,0.0002577863324649591,0.0002500823731039373,0.00023200769921846308,0.0002198591479183902,0.00020208078016218625,0.0001235596559056183,3.4667817124597964e-05,0.0,4.5038558339451995e-05,6.281693663134089e-05,4.6520089863776124e-05,7.911378339890587e-05,0
2016-01-21,0.0002823797411943747,0.00026815704698941126,0.00025067498536247737,0.0002761573124797031,0.00026400876117963065,0.0002746757818333529,0.00024326733213072562,0.0002577863324649591,0.0002500823731039373,0.00023200769921846308,0.0002198591479183902,0.00020208078016218625,0.0001235596559056183,3.4667817124597964e-05,0.0,4.563114390759046e-05,6.281693663134089e-05,4.6520089863776124e-05,7.911378339890587e-05,5.896495466809837e-05,0
2016-01-22,0.00026815704698941126,0.00025067498536247737,0.0002761573124797031,0.00026400876117963065,0.0002746757818333529,0.00024326733213072562,0.0002577863324649591,0.0002500823731039373,0.00023200769921846308,0.0002198591479183902,0.00020208078016218625,0.0001235596559056183,3.4667817124597964e-05,0.0,4.563114390759046e-05,6.340951166379461e-05,4.6520089863776124e-05,7.911378339890587e-05,5.896495466809837e-05,0.0,1
2016-01-23,0.00025067498536247737,0.0002761573124797031,0.00026400876117963065,0.0002746757818333529,0.00024326733213072562,0.0002577863324649591,0.0002500823731039373,0.00023200769921846308,0.0002198591479183902,0.00020208078016218625,0.0001235596559056183,3.4667817124597964e-05,0.0,4.563114390759046e-05,6.340951166379461e-05,4.711267455394111e-05,7.911378339890587e-05,5.896495466809837e-05,0.0,1.7778378291889545e-06,1
2016-01-24,0.0002761573124797031,0.00026400876117963065,0.0002746757818333529,0.00024326733213072562,0.0002577863324649591,0.0002500823731039373,0.00023200769921846308,0.0002198591479183902,0.00020208078016218625,0.0001235596559056183,3.4667817124597964e-05,0.0,4.563114390759046e-05,6.340951166379461e-05,4.711267455394111e-05,7.970634877364833e-05,5.896495466809837e-05,0.0,1.7778378291889545e-06,3.11121620108054e-05,1
2016-01-25,0.00026400876117963065,0.0002746757818333529,0.00024326733213072562,0.0002577863324649591,0.0002500823731039373,0.00023200769921846308,0.0002198591479183902,0.00020208078016218625,0.0001235596559056183,3.4667817124597964e-05,0.0,4.563114390759046e-05,6.340951166379461e-05,4.711267455394111e-05,7.970634877364833e-05,5.955753198328361e-05,0.0,1.7778378291889545e-06,3.11121620108054e-05,6.222432402160907e-06,1
2016-01-26,0.0002746757818333529,0.00024326733213072562,0.0002577863324649591,0.0002500823731039373,0.00023200769921846308,0.0002198591479183902,0.00020208078016218625,0.0001235596559056183,3.4667817124597964e-05,0.0,4.563114390759046e-05,6.340951166379461e-05,4.711267455394111e-05,7.970634877364833e-05,5.955753198328361e-05,5.926122585403048e-07,1.7778378291889545e-06,3.11121620108054e-05,6.222432402160907e-06,9.037342298376882e-05,1
2016-01-27,0.00024326733213072562,0.0002577863324649591,0.0002500823731039373,0.00023200769921846308,0.0002198591479183902,0.00020208078016218625,0.0001235596559056183,3.4667817124597964e-05,0.0,4.563114390759046e-05,6.340951166379461e-05,4.711267455394111e-05,7.970634877364833e-05,5.955753198328361e-05,5.926122585403048e-07,2.3704490341607855e-06,3.11121620108054e-05,6.222432402160907e-06,9.037342298376882e-05,0.0004124583763718242,1
2016-01-28,0.0002577863324649591,0.0002500823731039373,0.00023200769921846308,0.0002198591479183902,0.00020208078016218625,0.0001235596559056183,3.4667817124597964e-05,0.0,4.563114390759046e-05,6.340951166379461e-05,4.711267455394111e-05,7.970634877364833e-05,5.955753198328361e-05,5.926122585403048e-07,2.3704490341607855e-06,3.170475583189731e-05,6.222432402160907e-06,9.037342298376882e-05,0.0004124583763718242,0.0003294926110096754,1
2016-01-29,0.0002500823731039373,0.00023200769921846308,0.0002198591479183902,0.00020208078016218625,0.0001235596559056183,3.4667817124597964e-05,0.0,4.563114390759046e-05,6.340951166379461e-05,4.711267455394111e-05,7.970634877364833e-05,5.955753198328361e-05,5.926122585403048e-07,2.3704490341607855e-06,3.170475583189731e-05,6.815040973211662e-06,9.037342298376882e-05,0.0004124583763718242,0.0003294926110096754,0.000511424682196673,0
