crypto,end_date,normalize,normalize_by_row,predictor_cls,predictor_params.daily_allowance,predictor_params.lookahead_days,predictor_params.prob_buy,predictor_params.prob_sell,predictor_params.starting_investment,price_column,standardize,start_date,window_size,cv_folds,dev_size,shuffle_data,training_size,MLPClassifier_training,MLPClassifier_eval,SVC_training,SVC_eval
LTC,2019-09-30,True,False,BiffPredictorSmart,5,4,1,1,100,Close,False,2016-01-01,30,4,0.5,True,0.7,0.573353293413,0.531437125749,0.565868263473,0.559880239521
LTC,2019-09-30,True,False,BiffPredictorSmart,5,4,1,1,100,Close,False,2016-01-01,30,4,0.5,False,0.7,0.558383233533,0.461077844311,0.559880239521,0.501497005988
LTC,2019-09-30,True,False,BiffPredictorSmart,5,4,1,1,100,Close,False,2017-01-01,30,4,0.5,True,0.7,0.60206185567,0.511340206186,0.6,0.544329896907
LTC,2019-09-30,True,False,BiffPredictorSmart,5,4,1,1,100,Close,False,2017-01-01,30,4,0.5,False,0.7,0.585567010309,0.457731958763,0.562886597938,0.457731958763
LTC,2019-09-30,True,False,BiffPredictorSmart,5,4,1,1,100,Close,False,2018-01-01,30,4,0.5,True,0.7,0.55298013245,0.580858085809,0.586092715232,0.577557755776
LTC,2019-09-30,True,False,BiffPredictorSmart,5,4,1,1,100,Close,False,2018-01-01,30,4,0.5,False,0.7,0.609271523179,0.49504950495,0.596026490066,0.49504950495
LTC,2019-09-30,True,True,BiffPredictor,5,1,1,1,100,Close,True,2016-01-01,40,4,0.5,True,0.7,0.539156626506,0.503759398496,0.540662650602,0.494736842105
LTC,2019-09-30,True,True,BiffPredictor,5,1,1,1,100,Close,True,2016-01-01,40,4,0.5,False,0.7,0.536144578313,0.535338345865,0.515060240964,0.524812030075
LTC,2019-09-30,True,True,BiffPredictor,5,1,1,1,100,Close,True,2017-01-01,40,4,0.5,True,0.7,0.54261954262,0.485477178423,0.536382536383,0.491701244813
LTC,2019-09-30,True,True,BiffPredictor,5,1,1,1,100,Close,True,2017-01-01,40,4,0.5,False,0.7,0.557172557173,0.49377593361,0.525987525988,0.464730290456
LTC,2019-09-30,True,True,BiffPredictor,5,1,1,1,100,Close,True,2018-01-01,40,4,0.5,True,0.7,0.548494983278,0.518394648829,0.551839464883,0.538461538462
LTC,2019-09-30,True,True,BiffPredictor,5,1,1,1,100,Close,True,2018-01-01,40,4,0.5,False,0.7,0.56856187291,0.505016722408,0.558528428094,0.501672240803
LTC,2019-09-30,True,True,BiffPredictorSmart,5,1,1,1,100,Close,True,2016-01-01,40,4,0.5,True,0.7,0.546686746988,0.532330827068,0.548192771084,0.517293233083
LTC,2019-09-30,True,True,BiffPredictorSmart,5,1,1,1,100,Close,True,2016-01-01,40,4,0.5,False,0.7,0.539156626506,0.52030075188,0.515060240964,0.524812030075
LTC,2019-09-30,True,True,BiffPredictorSmart,5,1,1,1,100,Close,True,2017-01-01,40,4,0.5,True,0.7,0.532224532225,0.45643153527,0.511434511435,0.491701244813
LTC,2019-09-30,True,True,BiffPredictorSmart,5,1,1,1,100,Close,True,2017-01-01,40,4,0.5,False,0.7,0.54261954262,0.483402489627,0.525987525988,0.464730290456
LTC,2019-09-30,True,True,BiffPredictorSmart,5,1,1,1,100,Close,True,2018-01-01,40,4,0.5,True,0.7,0.535117056856,0.538461538462,0.535117056856,0.511705685619
