price 1,price 2,price 3,price 4,price 5,price 6,price 7,price 8,price 9,price 10,price 11,price 12,price 13,price 14,price 15,price 16,price 17,price 18,price 19,price 20,price 21,price 22,price 23,price 24,price 25,price 26,price 27,price 28,price 29,price 30,price 31,price 32,price 33,price 34,price 35,price 36,price 37,price 38,price 39,price 40,price 41,price 42,price 43,price 44,price 45,price 46,price 47,price 48,price 49,price 50,price 51,price 52,price 53,price 54,price 55,price 56,price 57,price 58,price 59,price 60,transaction
0.2395566922421142,0.2708155726058541,0.2571753339016767,0.2404092071611254,0.2648479681727765,0.25319693094629186,0.26342710997442476,0.23330491616936644,0.24722932651321422,0.23984086388178485,0.22250639386189275,0.2108553566354079,0.1938050582551862,0.11849957374254068,0.03324808184143244,0.0,0.04376243250923571,0.060812730889457406,0.045183290707587705,0.07644217107132736,0.05711849957374272,0.0005683432793410437,0.0022733731173631886,0.030406365444728703,0.006535947712418428,0.08724069337880103,0.39613526570048335,0.3165672065927821,0.4910485933503839,0.43250923557828946,0.36572890025575466,0.40636544472861624,0.4705882352941179,0.5032679738562094,0.5279909065075308,0.6109690252912761,0.7985223074737142,0.9167377095765843,0.818130150610969,0.7681159420289858,0.7789144643364595,0.7681159420289858,0.8147200909349248,0.8937198067632848,0.9883489627735154,1.0,0.9488491048593352,0.859903381642512,0.8192668371696507,0.890309747087241,0.8925831202046036,0.8491048593350383,0.8348962773515204,0.8121625461778914,0.8422847399829497,0.8283603296391019,0.837169650468883,0.8127308894572323,0.7891446433645923,0.7988064791133849,1
0.2708155726058541,0.2571753339016767,0.2404092071611254,0.2648479681727765,0.25319693094629186,0.26342710997442476,0.23330491616936644,0.24722932651321422,0.23984086388178485,0.22250639386189275,0.2108553566354079,0.1938050582551862,0.11849957374254068,0.03324808184143244,0.0,0.04376243250923571,0.060812730889457406,0.045183290707587705,0.07644217107132736,0.05711849957374272,0.0005683432793410437,0.0022733731173631886,0.030406365444728703,0.006535947712418428,0.08724069337880103,0.39613526570048335,0.3165672065927821,0.4910485933503839,0.43250923557828946,0.36572890025575466,0.40636544472861624,0.4705882352941179,0.5032679738562094,0.5279909065075308,0.6109690252912761,0.7985223074737142,0.9167377095765843,0.818130150610969,0.7681159420289858,0.7789144643364595,0.7681159420289858,0.8147200909349248,0.8937198067632848,0.9883489627735154,1.0,0.9488491048593352,0.859903381642512,0.8192668371696507,0.890309747087241,0.8925831202046036,0.8491048593350383,0.8348962773515204,0.8121625461778914,0.8422847399829497,0.8283603296391019,0.837169650468883,0.8127308894572323,0.7891446433645923,0.7988064791133849,0.8223927252060248,1
0.2571753339016767,0.2404092071611254,0.2648479681727765,0.25319693094629186,0.26342710997442476,0.23330491616936644,0.24722932651321422,0.23984086388178485,0.22250639386189275,0.2108553566354079,0.1938050582551862,0.11849957374254068,0.03324808184143244,0.0,0.04376243250923571,0.060812730889457406,0.045183290707587705,0.07644217107132736,0.05711849957374272,0.0005683432793410437,0.0022733731173631886,0.030406365444728703,0.006535947712418428,0.08724069337880103,0.39613526570048335,0.3165672065927821,0.4910485933503839,0.43250923557828946,0.36572890025575466,0.40636544472861624,0.4705882352941179,0.5032679738562094,0.5279909065075308,0.6109690252912761,0.7985223074737142,0.9167377095765843,0.818130150610969,0.7681159420289858,0.7789144643364595,0.7681159420289858,0.8147200909349248,0.8937198067632848,0.9883489627735154,1.0,0.9488491048593352,0.859903381642512,0.8192668371696507,0.890309747087241,0.8925831202046036,0.8491048593350383,0.8348962773515204,0.8121625461778914,0.8422847399829497,0.8283603296391019,0.837169650468883,0.8127308894572323,0.7891446433645923,0.7988064791133849,0.8223927252060248,0.8292128445581128,1
0.2404092071611254,0.2648479681727765,0.25319693094629186,0.26342710997442476,0.23330491616936644,0.24722932651321422,0.23984086388178485,0.22250639386189275,0.2108553566354079,0.1938050582551862,0.11849957374254068,0.03324808184143244,0.0,0.04376243250923571,0.060812730889457406,0.045183290707587705,0.07644217107132736,0.05711849957374272,0.0005683432793410437,0.0022733731173631886,0.030406365444728703,0.006535947712418428,0.08724069337880103,0.39613526570048335,0.3165672065927821,0.4910485933503839,0.43250923557828946,0.36572890025575466,0.40636544472861624,0.4705882352941179,0.5032679738562094,0.5279909065075308,0.6109690252912761,0.7985223074737142,0.9167377095765843,0.818130150610969,0.7681159420289858,0.7789144643364595,0.7681159420289858,0.8147200909349248,0.8937198067632848,0.9883489627735154,1.0,0.9488491048593352,0.859903381642512,0.8192668371696507,0.890309747087241,0.8925831202046036,0.8491048593350383,0.8348962773515204,0.8121625461778914,0.8422847399829497,0.8283603296391019,0.837169650468883,0.8127308894572323,0.7891446433645923,0.7988064791133849,0.8223927252060248,0.8292128445581128,0.866723500994601,0
0.2648479681727765,0.25319693094629186,0.26342710997442476,0.23330491616936644,0.24722932651321422,0.23984086388178485,0.22250639386189275,0.2108553566354079,0.1938050582551862,0.11849957374254068,0.03324808184143244,0.0,0.04376243250923571,0.060812730889457406,0.045183290707587705,0.07644217107132736,0.05711849957374272,0.0005683432793410437,0.0022733731173631886,0.030406365444728703,0.006535947712418428,0.08724069337880103,0.39613526570048335,0.3165672065927821,0.4910485933503839,0.43250923557828946,0.36572890025575466,0.40636544472861624,0.4705882352941179,0.5032679738562094,0.5279909065075308,0.6109690252912761,0.7985223074737142,0.9167377095765843,0.818130150610969,0.7681159420289858,0.7789144643364595,0.7681159420289858,0.8147200909349248,0.8937198067632848,0.9883489627735154,1.0,0.9488491048593352,0.859903381642512,0.8192668371696507,0.890309747087241,0.8925831202046036,0.8491048593350383,0.8348962773515204,0.8121625461778914,0.8422847399829497,0.8283603296391019,0.837169650468883,0.8127308894572323,0.7891446433645923,0.7988064791133849,0.8223927252060248,0.8292128445581128,0.866723500994601,0.8479681727763567,0
0.25319693094629186,0.26342710997442476,0.23330491616936644,0.24722932651321422,0.23984086388178485,0.22250639386189275,0.2108553566354079,0.1938050582551862,0.11849957374254068,0.03324808184143244,0.0,0.04376243250923571,0.060812730889457406,0.045183290707587705,0.07644217107132736,0.05711849957374272,0.0005683432793410437,0.0022733731173631886,0.030406365444728703,0.006535947712418428,0.08724069337880103,0.39613526570048335,0.3165672065927821,0.4910485933503839,0.43250923557828946,0.36572890025575466,0.40636544472861624,0.4705882352941179,0.5032679738562094,0.5279909065075308,0.6109690252912761,0.7985223074737142,0.9167377095765843,0.818130150610969,0.7681159420289858,0.7789144643364595,0.7681159420289858,0.8147200909349248,0.8937198067632848,0.9883489627735154,1.0,0.9488491048593352,0.859903381642512,0.8192668371696507,0.890309747087241,0.8925831202046036,0.8491048593350383,0.8348962773515204,0.8121625461778914,0.8422847399829497,0.8283603296391019,0.837169650468883,0.8127308894572323,0.7891446433645923,0.7988064791133849,0.8223927252060248,0.8292128445581128,0.866723500994601,0.8479681727763567,0.7860187553282182,1
0.26342710997442476,0.23330491616936644,0.24722932651321422,0.23984086388178485,0.22250639386189275,0.2108553566354079,0.1938050582551862,0.11849957374254068,0.03324808184143244,0.0,0.04376243250923571,0.060812730889457406,0.045183290707587705,0.07644217107132736,0.05711849957374272,0.0005683432793410437,0.0022733731173631886,0.030406365444728703,0.006535947712418428,0.08724069337880103,0.39613526570048335,0.3165672065927821,0.4910485933503839,0.43250923557828946,0.36572890025575466,0.40636544472861624,0.4705882352941179,0.5032679738562094,0.5279909065075308,0.6109690252912761,0.7985223074737142,0.9167377095765843,0.818130150610969,0.7681159420289858,0.7789144643364595,0.7681159420289858,0.8147200909349248,0.8937198067632848,0.9883489627735154,1.0,0.9488491048593352,0.859903381642512,0.8192668371696507,0.890309747087241,0.8925831202046036,0.8491048593350383,0.8348962773515204,0.8121625461778914,0.8422847399829497,0.8283603296391019,0.837169650468883,0.8127308894572323,0.7891446433645923,0.7988064791133849,0.8223927252060248,0.8292128445581128,0.866723500994601,0.8479681727763567,0.7860187553282182,0.7809036658141515,1
0.23330491616936644,0.24722932651321422,0.23984086388178485,0.22250639386189275,0.2108553566354079,0.1938050582551862,0.11849957374254068,0.03324808184143244,0.0,0.04376243250923571,0.060812730889457406,0.045183290707587705,0.07644217107132736,0.05711849957374272,0.0005683432793410437,0.0022733731173631886,0.030406365444728703,0.006535947712418428,0.08724069337880103,0.39613526570048335,0.3165672065927821,0.4910485933503839,0.43250923557828946,0.36572890025575466,0.40636544472861624,0.4705882352941179,0.5032679738562094,0.5279909065075308,0.6109690252912761,0.7985223074737142,0.9167377095765843,0.818130150610969,0.7681159420289858,0.7789144643364595,0.7681159420289858,0.8147200909349248,0.8937198067632848,0.9883489627735154,1.0,0.9488491048593352,0.859903381642512,0.8192668371696507,0.890309747087241,0.8925831202046036,0.8491048593350383,0.8348962773515204,0.8121625461778914,0.8422847399829497,0.8283603296391019,0.837169650468883,0.8127308894572323,0.7891446433645923,0.7988064791133849,0.8223927252060248,0.8292128445581128,0.866723500994601,0.8479681727763567,0.7860187553282182,0.7809036658141515,0.7973856209150332,1
0.24722932651321422,0.23984086388178485,0.22250639386189275,0.2108553566354079,0.1938050582551862,0.11849957374254068,0.03324808184143244,0.0,0.04376243250923571,0.060812730889457406,0.045183290707587705,0.07644217107132736,0.05711849957374272,0.0005683432793410437,0.0022733731173631886,0.030406365444728703,0.006535947712418428,0.08724069337880103,0.39613526570048335,0.3165672065927821,0.4910485933503839,0.43250923557828946,0.36572890025575466,0.40636544472861624,0.4705882352941179,0.5032679738562094,0.5279909065075308,0.6109690252912761,0.7985223074737142,0.9167377095765843,0.818130150610969,0.7681159420289858,0.7789144643364595,0.7681159420289858,0.8147200909349248,0.8937198067632848,0.9883489627735154,1.0,0.9488491048593352,0.859903381642512,0.8192668371696507,0.890309747087241,0.8925831202046036,0.8491048593350383,0.8348962773515204,0.8121625461778914,0.8422847399829497,0.8283603296391019,0.837169650468883,0.8127308894572323,0.7891446433645923,0.7988064791133849,0.8223927252060248,0.8292128445581128,0.866723500994601,0.8479681727763567,0.7860187553282182,0.7809036658141515,0.7973856209150332,0.8061949417448138,1
0.23984086388178485,0.22250639386189275,0.2108553566354079,0.1938050582551862,0.11849957374254068,0.03324808184143244,0.0,0.04376243250923571,0.060812730889457406,0.045183290707587705,0.07644217107132736,0.05711849957374272,0.0005683432793410437,0.0022733731173631886,0.030406365444728703,0.006535947712418428,0.08724069337880103,0.39613526570048335,0.3165672065927821,0.4910485933503839,0.43250923557828946,0.36572890025575466,0.40636544472861624,0.4705882352941179,0.5032679738562094,0.5279909065075308,0.6109690252912761,0.7985223074737142,0.9167377095765843,0.818130150610969,0.7681159420289858,0.7789144643364595,0.7681159420289858,0.8147200909349248,0.8937198067632848,0.9883489627735154,1.0,0.9488491048593352,0.859903381642512,0.8192668371696507,0.890309747087241,0.8925831202046036,0.8491048593350383,0.8348962773515204,0.8121625461778914,0.8422847399829497,0.8283603296391019,0.837169650468883,0.8127308894572323,0.7891446433645923,0.7988064791133849,0.8223927252060248,0.8292128445581128,0.866723500994601,0.8479681727763567,0.7860187553282182,0.7809036658141515,0.7973856209150332,0.8061949417448138,0.8366013071895427,1
